,nSessions,nTrials,pC,p1Min,p1Max,minOddChange,minRunLength,maxRunLength,applyMinForLastRunLength,sessionIndex,trialIndex,p1,didP1Change,outcome
78,150,1000,0.005,0,1,4,6,250,False,0,78,0.1408162732065249,False,0
79,150,1000,0.005,0,1,4,6,250,False,0,79,0.1408162732065249,False,0
80,150,1000,0.005,0,1,4,6,250,False,0,80,0.1408162732065249,False,1
81,150,1000,0.005,0,1,4,6,250,False,0,81,0.1408162732065249,False,0
82,150,1000,0.005,0,1,4,6,250,False,0,82,0.1408162732065249,False,0
83,150,1000,0.005,0,1,4,6,250,False,0,83,0.1408162732065249,False,0
84,150,1000,0.005,0,1,4,6,250,False,0,84,0.1408162732065249,False,0
85,150,1000,0.005,0,1,4,6,250,False,0,85,0.1408162732065249,False,1
86,150,1000,0.005,0,1,4,6,250,False,0,86,0.1408162732065249,False,0
87,150,1000,0.005,0,1,4,6,250,False,0,87,0.1408162732065249,False,0
88,150,1000,0.005,0,1,4,6,250,False,0,88,0.1408162732065249,False,0
89,150,1000,0.005,0,1,4,6,250,False,0,89,0.1408162732065249,False,1
90,150,1000,0.005,0,1,4,6,250,False,0,90,0.1408162732065249,False,0
91,150,1000,0.005,0,1,4,6,250,False,0,91,0.1408162732065249,False,0
92,150,1000,0.005,0,1,4,6,250,False,0,92,0.1408162732065249,False,0
93,150,1000,0.005,0,1,4,6,250,False,0,93,0.1408162732065249,False,0
94,150,1000,0.005,0,1,4,6,250,False,0,94,0.1408162732065249,False,0
95,150,1000,0.005,0,1,4,6,250,False,0,95,0.1408162732065249,False,0
96,150,1000,0.005,0,1,4,6,250,False,0,96,0.1408162732065249,False,0
97,150,1000,0.005,0,1,4,6,250,False,0,97,0.1408162732065249,False,0
98,150,1000,0.005,0,1,4,6,250,False,0,98,0.1408162732065249,False,1
99,150,1000,0.005,0,1,4,6,250,False,0,99,0.1408162732065249,False,0
100,150,1000,0.005,0,1,4,6,250,False,0,100,0.1408162732065249,False,0
101,150,1000,0.005,0,1,4,6,250,False,0,101,0.1408162732065249,False,1
102,150,1000,0.005,0,1,4,6,250,False,0,102,0.1408162732065249,False,0
103,150,1000,0.005,0,1,4,6,250,False,0,103,0.1408162732065249,False,0
104,150,1000,0.005,0,1,4,6,250,False,0,104,0.1408162732065249,False,0
105,150,1000,0.005,0,1,4,6,250,False,0,105,0.1408162732065249,False,0
106,150,1000,0.005,0,1,4,6,250,False,0,106,0.1408162732065249,False,0
107,150,1000,0.005,0,1,4,6,250,False,0,107,0.1408162732065249,False,0
108,150,1000,0.005,0,1,4,6,250,False,0,108,0.1408162732065249,False,0
109,150,1000,0.005,0,1,4,6,250,False,0,109,0.1408162732065249,False,0
110,150,1000,0.005,0,1,4,6,250,False,0,110,0.1408162732065249,False,0
111,150,1000,0.005,0,1,4,6,250,False,0,111,0.1408162732065249,False,0
112,150,1000,0.005,0,1,4,6,250,False,0,112,0.1408162732065249,False,0
113,150,1000,0.005,0,1,4,6,250,False,0,113,0.1408162732065249,False,0
114,150,1000,0.005,0,1,4,6,250,False,0,114,0.1408162732065249,False,0
115,150,1000,0.005,0,1,4,6,250,False,0,115,0.1408162732065249,False,0
116,150,1000,0.005,0,1,4,6,250,False,0,116,0.1408162732065249,False,1
117,150,1000,0.005,0,1,4,6,250,False,0,117,0.1408162732065249,False,1
118,150,1000,0.005,0,1,4,6,250,False,0,118,0.1408162732065249,False,0
119,150,1000,0.005,0,1,4,6,250,False,0,119,0.1408162732065249,False,0
120,150,1000,0.005,0,1,4,6,250,False,0,120,0.1408162732065249,False,0
121,150,1000,0.005,0,1,4,6,250,False,0,121,0.1408162732065249,False,0
122,150,1000,0.005,0,1,4,6,250,False,0,122,0.1408162732065249,False,1
123,150,1000,0.005,0,1,4,6,250,False,0,123,0.1408162732065249,False,0
124,150,1000,0.005,0,1,4,6,250,False,0,124,0.1408162732065249,False,0
125,150,1000,0.005,0,1,4,6,250,False,0,125,0.1408162732065249,False,0
126,150,1000,0.005,0,1,4,6,250,False,0,126,0.1408162732065249,False,0
127,150,1000,0.005,0,1,4,6,250,False,0,127,0.1408162732065249,False,0
128,150,1000,0.005,0,1,4,6,250,False,0,128,0.1408162732065249,False,0
129,150,1000,0.005,0,1,4,6,250,False,0,129,0.1408162732065249,False,0
130,150,1000,0.005,0,1,4,6,250,False,0,130,0.1408162732065249,False,0
131,150,1000,0.005,0,1,4,6,250,False,0,131,0.1408162732065249,False,0
132,150,1000,0.005,0,1,4,6,250,False,0,132,0.1408162732065249,False,0
133,150,1000,0.005,0,1,4,6,250,False,0,133,0.1408162732065249,False,0
134,150,1000,0.005,0,1,4,6,250,False,0,134,0.1408162732065249,False,0
135,150,1000,0.005,0,1,4,6,250,False,0,135,0.1408162732065249,False,0
136,150,1000,0.005,0,1,4,6,250,False,0,136,0.1408162732065249,False,0
137,150,1000,0.005,0,1,4,6,250,False,0,137,0.1408162732065249,False,0
138,150,1000,0.005,0,1,4,6,250,False,0,138,0.1408162732065249,False,0
139,150,1000,0.005,0,1,4,6,250,False,0,139,0.1408162732065249,False,0
140,150,1000,0.005,0,1,4,6,250,False,0,140,0.1408162732065249,False,0
141,150,1000,0.005,0,1,4,6,250,False,0,141,0.891442474262873,True,0
142,150,1000,0.005,0,1,4,6,250,False,0,142,0.891442474262873,False,1
143,150,1000,0.005,0,1,4,6,250,False,0,143,0.891442474262873,False,0
144,150,1000,0.005,0,1,4,6,250,False,0,144,0.891442474262873,False,1
145,150,1000,0.005,0,1,4,6,250,False,0,145,0.891442474262873,False,0
146,150,1000,0.005,0,1,4,6,250,False,0,146,0.891442474262873,False,1
147,150,1000,0.005,0,1,4,6,250,False,0,147,0.891442474262873,False,1
148,150,1000,0.005,0,1,4,6,250,False,0,148,0.891442474262873,False,1
149,150,1000,0.005,0,1,4,6,250,False,0,149,0.891442474262873,False,1
150,150,1000,0.005,0,1,4,6,250,False,0,150,0.891442474262873,False,1
151,150,1000,0.005,0,1,4,6,250,False,0,151,0.891442474262873,False,1
152,150,1000,0.005,0,1,4,6,250,False,0,152,0.891442474262873,False,0
153,150,1000,0.005,0,1,4,6,250,False,0,153,0.0863116609648037,True,0
154,150,1000,0.005,0,1,4,6,250,False,0,154,0.0863116609648037,False,1
155,150,1000,0.005,0,1,4,6,250,False,0,155,0.0863116609648037,False,0
156,150,1000,0.005,0,1,4,6,250,False,0,156,0.0863116609648037,False,0
157,150,1000,0.005,0,1,4,6,250,False,0,157,0.0863116609648037,False,1
158,150,1000,0.005,0,1,4,6,250,False,0,158,0.0863116609648037,False,0
159,150,1000,0.005,0,1,4,6,250,False,0,159,0.0863116609648037,False,0
160,150,1000,0.005,0,1,4,6,250,False,0,160,0.0863116609648037,False,0
161,150,1000,0.005,0,1,4,6,250,False,0,161,0.0863116609648037,False,0
162,150,1000,0.005,0,1,4,6,250,False,0,162,0.0863116609648037,False,0
163,150,1000,0.005,0,1,4,6,250,False,0,163,0.0863116609648037,False,0
164,150,1000,0.005,0,1,4,6,250,False,0,164,0.0863116609648037,False,0
165,150,1000,0.005,0,1,4,6,250,False,0,165,0.0863116609648037,False,0
166,150,1000,0.005,0,1,4,6,250,False,0,166,0.0863116609648037,False,0
167,150,1000,0.005,0,1,4,6,250,False,0,167,0.0863116609648037,False,0
168,150,1000,0.005,0,1,4,6,250,False,0,168,0.0863116609648037,False,0
169,150,1000,0.005,0,1,4,6,250,False,0,169,0.0863116609648037,False,0
170,150,1000,0.005,0,1,4,6,250,False,0,170,0.0863116609648037,False,0
171,150,1000,0.005,0,1,4,6,250,False,0,171,0.0863116609648037,False,0
172,150,1000,0.005,0,1,4,6,250,False,0,172,0.0863116609648037,False,0
173,150,1000,0.005,0,1,4,6,250,False,0,173,0.0863116609648037,False,0
174,150,1000,0.005,0,1,4,6,250,False,0,174,0.0863116609648037,False,0
175,150,1000,0.005,0,1,4,6,250,False,0,175,0.0863116609648037,False,1
176,150,1000,0.005,0,1,4,6,250,False,0,176,0.0863116609648037,False,0
177,150,1000,0.005,0,1,4,6,250,False,0,177,0.0863116609648037,False,0
178,150,1000,0.005,0,1,4,6,250,False,0,178,0.0863116609648037,False,1
179,150,1000,0.005,0,1,4,6,250,False,0,179,0.0863116609648037,False,0
180,150,1000,0.005,0,1,4,6,250,False,0,180,0.0863116609648037,False,0
181,150,1000,0.005,0,1,4,6,250,False,0,181,0.0863116609648037,False,0
182,150,1000,0.005,0,1,4,6,250,False,0,182,0.0863116609648037,False,0
183,150,1000,0.005,0,1,4,6,250,False,0,183,0.0863116609648037,False,0
184,150,1000,0.005,0,1,4,6,250,False,0,184,0.0863116609648037,False,0
185,150,1000,0.005,0,1,4,6,250,False,0,185,0.0863116609648037,False,0
186,150,1000,0.005,0,1,4,6,250,False,0,186,0.0863116609648037,False,0
187,150,1000,0.005,0,1,4,6,250,False,0,187,0.0863116609648037,False,0
188,150,1000,0.005,0,1,4,6,250,False,0,188,0.0863116609648037,False,0
189,150,1000,0.005,0,1,4,6,250,False,0,189,0.0863116609648037,False,0
190,150,1000,0.005,0,1,4,6,250,False,0,190,0.0863116609648037,False,0
191,150,1000,0.005,0,1,4,6,250,False,0,191,0.0863116609648037,False,0
192,150,1000,0.005,0,1,4,6,250,False,0,192,0.0863116609648037,False,0
193,150,1000,0.005,0,1,4,6,250,False,0,193,0.0863116609648037,False,0
194,150,1000,0.005,0,1,4,6,250,False,0,194,0.0863116609648037,False,0
195,150,1000,0.005,0,1,4,6,250,False,0,195,0.0863116609648037,False,0
196,150,1000,0.005,0,1,4,6,250,False,0,196,0.0863116609648037,False,0
197,150,1000,0.005,0,1,4,6,250,False,0,197,0.0863116609648037,False,0
198,150,1000,0.005,0,1,4,6,250,False,0,198,0.0863116609648037,False,0
199,150,1000,0.005,0,1,4,6,250,False,0,199,0.0863116609648037,False,0
200,150,1000,0.005,0,1,4,6,250,False,0,200,0.0863116609648037,False,0
201,150,1000,0.005,0,1,4,6,250,False,0,201,0.0863116609648037,False,1
202,150,1000,0.005,0,1,4,6,250,False,0,202,0.0863116609648037,False,0
203,150,1000,0.005,0,1,4,6,250,False,0,203,0.0863116609648037,False,0
204,150,1000,0.005,0,1,4,6,250,False,0,204,0.0863116609648037,False,0
205,150,1000,0.005,0,1,4,6,250,False,0,205,0.0863116609648037,False,0
206,150,1000,0.005,0,1,4,6,250,False,0,206,0.0863116609648037,False,0
207,150,1000,0.005,0,1,4,6,250,False,0,207,0.0863116609648037,False,0
208,150,1000,0.005,0,1,4,6,250,False,0,208,0.0863116609648037,False,0
209,150,1000,0.005,0,1,4,6,250,False,0,209,0.0863116609648037,False,0
210,150,1000,0.005,0,1,4,6,250,False,0,210,0.0863116609648037,False,0
211,150,1000,0.005,0,1,4,6,250,False,0,211,0.0863116609648037,False,0
212,150,1000,0.005,0,1,4,6,250,False,0,212,0.0863116609648037,False,0
213,150,1000,0.005,0,1,4,6,250,False,0,213,0.0863116609648037,False,1
214,150,1000,0.005,0,1,4,6,250,False,0,214,0.0863116609648037,False,0
215,150,1000,0.005,0,1,4,6,250,False,0,215,0.0863116609648037,False,0
216,150,1000,0.005,0,1,4,6,250,False,0,216,0.0863116609648037,False,0
217,150,1000,0.005,0,1,4,6,250,False,0,217,0.0863116609648037,False,0
218,150,1000,0.005,0,1,4,6,250,False,0,218,0.0863116609648037,False,0
219,150,1000,0.005,0,1,4,6,250,False,0,219,0.0863116609648037,False,1
220,150,1000,0.005,0,1,4,6,250,False,0,220,0.0863116609648037,False,0
221,150,1000,0.005,0,1,4,6,250,False,0,221,0.0863116609648037,False,0
222,150,1000,0.005,0,1,4,6,250,False,0,222,0.0863116609648037,False,0
223,150,1000,0.005,0,1,4,6,250,False,0,223,0.0863116609648037,False,0
224,150,1000,0.005,0,1,4,6,250,False,0,224,0.0863116609648037,False,0
225,150,1000,0.005,0,1,4,6,250,False,0,225,0.0863116609648037,False,0
226,150,1000,0.005,0,1,4,6,250,False,0,226,0.0863116609648037,False,0
227,150,1000,0.005,0,1,4,6,250,False,0,227,0.0863116609648037,False,0
228,150,1000,0.005,0,1,4,6,250,False,0,228,0.0863116609648037,False,0
229,150,1000,0.005,0,1,4,6,250,False,0,229,0.0863116609648037,False,0
230,150,1000,0.005,0,1,4,6,250,False,0,230,0.0863116609648037,False,0
231,150,1000,0.005,0,1,4,6,250,False,0,231,0.0863116609648037,False,0
232,150,1000,0.005,0,1,4,6,250,False,0,232,0.0863116609648037,False,0
233,150,1000,0.005,0,1,4,6,250,False,0,233,0.0863116609648037,False,0
234,150,1000,0.005,0,1,4,6,250,False,0,234,0.0863116609648037,False,0
235,150,1000,0.005,0,1,4,6,250,False,0,235,0.0863116609648037,False,0
236,150,1000,0.005,0,1,4,6,250,False,0,236,0.0863116609648037,False,0
237,150,1000,0.005,0,1,4,6,250,False,0,237,0.0863116609648037,False,0
238,150,1000,0.005,0,1,4,6,250,False,0,238,0.0863116609648037,False,0
239,150,1000,0.005,0,1,4,6,250,False,0,239,0.0863116609648037,False,0
240,150,1000,0.005,0,1,4,6,250,False,0,240,0.0863116609648037,False,0
241,150,1000,0.005,0,1,4,6,250,False,0,241,0.0863116609648037,False,0
242,150,1000,0.005,0,1,4,6,250,False,0,242,0.0863116609648037,False,0
243,150,1000,0.005,0,1,4,6,250,False,0,243,0.0863116609648037,False,1
244,150,1000,0.005,0,1,4,6,250,False,0,244,0.0863116609648037,False,1
245,150,1000,0.005,0,1,4,6,250,False,0,245,0.0863116609648037,False,0
246,150,1000,0.005,0,1,4,6,250,False,0,246,0.0863116609648037,False,0
247,150,1000,0.005,0,1,4,6,250,False,0,247,0.0863116609648037,False,0
248,150,1000,0.005,0,1,4,6,250,False,0,248,0.0863116609648037,False,0
249,150,1000,0.005,0,1,4,6,250,False,0,249,0.0863116609648037,False,1
250,150,1000,0.005,0,1,4,6,250,False,0,250,0.0863116609648037,False,0
251,150,1000,0.005,0,1,4,6,250,False,0,251,0.0863116609648037,False,0
252,150,1000,0.005,0,1,4,6,250,False,0,252,0.0863116609648037,False,0
253,150,1000,0.005,0,1,4,6,250,False,0,253,0.0863116609648037,False,0
254,150,1000,0.005,0,1,4,6,250,False,0,254,0.0863116609648037,False,0
255,150,1000,0.005,0,1,4,6,250,False,0,255,0.0863116609648037,False,1
256,150,1000,0.005,0,1,4,6,250,False,0,256,0.0863116609648037,False,0
257,150,1000,0.005,0,1,4,6,250,False,0,257,0.0863116609648037,False,0
258,150,1000,0.005,0,1,4,6,250,False,0,258,0.0863116609648037,False,0
259,150,1000,0.005,0,1,4,6,250,False,0,259,0.0863116609648037,False,0
260,150,1000,0.005,0,1,4,6,250,False,0,260,0.0863116609648037,False,0
261,150,1000,0.005,0,1,4,6,250,False,0,261,0.0863116609648037,False,0
262,150,1000,0.005,0,1,4,6,250,False,0,262,0.0863116609648037,False,0
263,150,1000,0.005,0,1,4,6,250,False,0,263,0.0863116609648037,False,0
264,150,1000,0.005,0,1,4,6,250,False,0,264,0.0863116609648037,False,0
265,150,1000,0.005,0,1,4,6,250,False,0,265,0.0863116609648037,False,0
266,150,1000,0.005,0,1,4,6,250,False,0,266,0.0863116609648037,False,0
267,150,1000,0.005,0,1,4,6,250,False,0,267,0.0863116609648037,False,0
268,150,1000,0.005,0,1,4,6,250,False,0,268,0.0863116609648037,False,0
269,150,1000,0.005,0,1,4,6,250,False,0,269,0.0863116609648037,False,0
270,150,1000,0.005,0,1,4,6,250,False,0,270,0.0863116609648037,False,0
271,150,1000,0.005,0,1,4,6,250,False,0,271,0.0863116609648037,False,0
272,150,1000,0.005,0,1,4,6,250,False,0,272,0.0863116609648037,False,0
273,150,1000,0.005,0,1,4,6,250,False,0,273,0.0863116609648037,False,0
274,150,1000,0.005,0,1,4,6,250,False,0,274,0.0863116609648037,False,1
275,150,1000,0.005,0,1,4,6,250,False,0,275,0.0863116609648037,False,1
276,150,1000,0.005,0,1,4,6,250,False,0,276,0.0863116609648037,False,0
277,150,1000,0.005,0,1,4,6,250,False,0,277,0.0863116609648037,False,0
278,150,1000,0.005,0,1,4,6,250,False,0,278,0.0863116609648037,False,0
279,150,1000,0.005,0,1,4,6,250,False,0,279,0.0863116609648037,False,0
280,150,1000,0.005,0,1,4,6,250,False,0,280,0.0863116609648037,False,0
281,150,1000,0.005,0,1,4,6,250,False,0,281,0.0863116609648037,False,0
282,150,1000,0.005,0,1,4,6,250,False,0,282,0.0863116609648037,False,0
283,150,1000,0.005,0,1,4,6,250,False,0,283,0.0863116609648037,False,0
284,150,1000,0.005,0,1,4,6,250,False,0,284,0.0863116609648037,False,0
285,150,1000,0.005,0,1,4,6,250,False,0,285,0.0863116609648037,False,0
286,150,1000,0.005,0,1,4,6,250,False,0,286,0.0863116609648037,False,0
287,150,1000,0.005,0,1,4,6,250,False,0,287,0.0863116609648037,False,0
288,150,1000,0.005,0,1,4,6,250,False,0,288,0.0863116609648037,False,0
289,150,1000,0.005,0,1,4,6,250,False,0,289,0.0863116609648037,False,1
290,150,1000,0.005,0,1,4,6,250,False,0,290,0.0863116609648037,False,0
291,150,1000,0.005,0,1,4,6,250,False,0,291,0.0863116609648037,False,0
292,150,1000,0.005,0,1,4,6,250,False,0,292,0.0863116609648037,False,0
293,150,1000,0.005,0,1,4,6,250,False,0,293,0.0863116609648037,False,0
294,150,1000,0.005,0,1,4,6,250,False,0,294,0.0863116609648037,False,0
295,150,1000,0.005,0,1,4,6,250,False,0,295,0.0863116609648037,False,0
296,150,1000,0.005,0,1,4,6,250,False,0,296,0.0863116609648037,False,0
297,150,1000,0.005,0,1,4,6,250,False,0,297,0.0863116609648037,False,0
298,150,1000,0.005,0,1,4,6,250,False,0,298,0.0863116609648037,False,0
299,150,1000,0.005,0,1,4,6,250,False,0,299,0.0863116609648037,False,0
300,150,1000,0.005,0,1,4,6,250,False,0,300,0.0863116609648037,False,0
301,150,1000,0.005,0,1,4,6,250,False,0,301,0.0863116609648037,False,0
302,150,1000,0.005,0,1,4,6,250,False,0,302,0.0863116609648037,False,0
303,150,1000,0.005,0,1,4,6,250,False,0,303,0.0863116609648037,False,0
304,150,1000,0.005,0,1,4,6,250,False,0,304,0.0863116609648037,False,0
305,150,1000,0.005,0,1,4,6,250,False,0,305,0.0863116609648037,False,1
306,150,1000,0.005,0,1,4,6,250,False,0,306,0.0863116609648037,False,1
307,150,1000,0.005,0,1,4,6,250,False,0,307,0.0863116609648037,False,0
308,150,1000,0.005,0,1,4,6,250,False,0,308,0.0863116609648037,False,0
309,150,1000,0.005,0,1,4,6,250,False,0,309,0.0863116609648037,False,0
310,150,1000,0.005,0,1,4,6,250,False,0,310,0.0863116609648037,False,0
311,150,1000,0.005,0,1,4,6,250,False,0,311,0.0863116609648037,False,0
312,150,1000,0.005,0,1,4,6,250,False,0,312,0.0863116609648037,False,0
313,150,1000,0.005,0,1,4,6,250,False,0,313,0.0863116609648037,False,1
314,150,1000,0.005,0,1,4,6,250,False,0,314,0.0863116609648037,False,1
315,150,1000,0.005,0,1,4,6,250,False,0,315,0.0863116609648037,False,0
316,150,1000,0.005,0,1,4,6,250,False,0,316,0.0863116609648037,False,0
317,150,1000,0.005,0,1,4,6,250,False,0,317,0.0863116609648037,False,1
318,150,1000,0.005,0,1,4,6,250,False,0,318,0.0863116609648037,False,0
319,150,1000,0.005,0,1,4,6,250,False,0,319,0.0863116609648037,False,0
320,150,1000,0.005,0,1,4,6,250,False,0,320,0.0863116609648037,False,0
321,150,1000,0.005,0,1,4,6,250,False,0,321,0.0863116609648037,False,0
322,150,1000,0.005,0,1,4,6,250,False,0,322,0.0863116609648037,False,0
323,150,1000,0.005,0,1,4,6,250,False,0,323,0.0863116609648037,False,0
324,150,1000,0.005,0,1,4,6,250,False,0,324,0.0863116609648037,False,0
325,150,1000,0.005,0,1,4,6,250,False,0,325,0.0863116609648037,False,0
326,150,1000,0.005,0,1,4,6,250,False,0,326,0.0863116609648037,False,0
327,150,1000,0.005,0,1,4,6,250,False,0,327,0.0863116609648037,False,0
328,150,1000,0.005,0,1,4,6,250,False,0,328,0.0863116609648037,False,0
329,150,1000,0.005,0,1,4,6,250,False,0,329,0.0863116609648037,False,0
330,150,1000,0.005,0,1,4,6,250,False,0,330,0.0863116609648037,False,0
331,150,1000,0.005,0,1,4,6,250,False,0,331,0.0863116609648037,False,0
332,150,1000,0.005,0,1,4,6,250,False,0,332,0.0863116609648037,False,0
333,150,1000,0.005,0,1,4,6,250,False,0,333,0.0863116609648037,False,0
334,150,1000,0.005,0,1,4,6,250,False,0,334,0.0863116609648037,False,0
335,150,1000,0.005,0,1,4,6,250,False,0,335,0.0863116609648037,False,1
336,150,1000,0.005,0,1,4,6,250,False,0,336,0.0863116609648037,False,0
337,150,1000,0.005,0,1,4,6,250,False,0,337,0.0863116609648037,False,0
338,150,1000,0.005,0,1,4,6,250,False,0,338,0.0863116609648037,False,0
339,150,1000,0.005,0,1,4,6,250,False,0,339,0.0863116609648037,False,0
340,150,1000,0.005,0,1,4,6,250,False,0,340,0.0863116609648037,False,0
341,150,1000,0.005,0,1,4,6,250,False,0,341,0.0863116609648037,False,0
342,150,1000,0.005,0,1,4,6,250,False,0,342,0.0863116609648037,False,0
343,150,1000,0.005,0,1,4,6,250,False,0,343,0.0863116609648037,False,0
344,150,1000,0.005,0,1,4,6,250,False,0,344,0.0863116609648037,False,0
345,150,1000,0.005,0,1,4,6,250,False,0,345,0.0863116609648037,False,0
